lease_id,property_id,tenant_id,lease_start_date,lease_end_date,leased_sqft,monthlyRent,notes
1,20,52,2022-12-23,2032-12-20,1512,5171.45,History office effort remember.
2,5,57,2018-04-07,2019-04-07,37256,3121.79,History office effort remember.
3,7,55,2020-01-02,2023-01-01,33016,3504.49,History office effort remember.
4,14,3,2018-10-14,2019-09-19,9573,5048.45,History office effort remember.
5,14,8,2023-11-18,2030-11-16,10768,4682.36,History office effort remember.
6,14,20,2018-12-21,2028-12-18,3614,6095.7,History office effort remember.
7,12,57,2020-08-26,2023-08-26,11128,6203.06,History office effort remember.
8,6,2,2022-03-27,2025-03-26,22770,5629.55,History office effort remember.
9,23,56,2021-05-14,2024-05-13,31847,3389.73,History office effort remember.
10,8,43,2018-09-03,2025-09-01,22512,3614.41,History office effort remember.
11,17,54,2023-09-03,2028-09-01,2808,2961.37,History office effort remember.
12,9,39,2022-02-23,2025-02-22,21557,4245.58,History office effort remember.
13,19,3,2018-11-23,2019-11-23,1110,4579.68,History office effort remember.
14,3,59,2018-03-20,2021-03-19,21572,5153.55,History office effort remember.
15,22,26,2020-03-20,2025-03-19,37333,3009.15,History office effort remember.
16,6,20,2021-04-26,2028-04-24,1026,3715.5,History office effort remember.
17,11,29,2020-07-31,2030-07-29,34500,4392.74,History office effort remember.
18,10,41,2018-04-02,2021-04-01,7120,5773.69,History office effort remember.
19,7,3,2020-03-10,2025-03-09,32138,4945.1,History office effort remember.
20,21,46,2023-08-08,2030-08-06,33399,4098.61,History office effort remember.
21,25,50,2023-11-02,2024-11-01,12526,5716.44,History office effort remember.
22,8,8,2018-03-29,2025-03-27,31450,5170.31,History office effort remember.
23,25,40,2020-02-24,2030-02-21,34081,4206.96,History office effort remember.
24,24,29,2022-02-04,2029-02-02,17203,5859.45,History office effort remember.
25,8,5,2022-01-01,2031-12-30,16367,3586.86,History office effort remember.
26,5,45,2020-02-15,2030-02-12,15021,2756.92,History office effort remember.
27,2,27,2021-05-12,2031-05-10,39278,,History office effort remember.
28,1,20,2023-04-02,2033-03-30,28460,4652.88,History office effort remember.
29,16,28,2023-11-05,2033-11-02,26484,3844.52,History office effort remember.
30,15,40,2022-07-01,2029-06-29,26822,4867.57,History office effort remember.
31,5,12,2023-07-23,2024-07-22,25844,3809.41,History office effort remember.
32,13,54,2019-06-03,2024-06-01,6367,4381.23,History office effort remember.
33,12,5,2018-12-23,2019-12-23,3638,5516.93,History office effort remember.
34,20,9,2022-10-20,2025-10-19,8496,4755.88,History office effort remember.
35,6,48,2019-01-24,2024-01-23,11732,6358.88,History office effort remember.
36,19,25,2020-06-22,2021-06-22,13997,2803.99,History office effort remember.
37,25,44,2019-01-29,2022-01-28,8933,5684.91,History office effort remember.
38,14,5,2023-07-20,2024-07-19,23362,2550.61,History office effort remember.
39,12,54,2022-09-11,2029-09-09,11026,4241.95,History office effort remember.
40,18,30,2020-06-21,2025-06-20,39828,3573.58,History office effort remember.
41,15,30,2022-01-08,2023-01-08,25837,3845.59,History office effort remember.
42,7,17,2022-05-31,2027-05-30,19105,4723.16,History office effort remember.
43,24,36,2019-06-28,2022-06-27,32201,5083.61,History office effort remember.
44,8,16,2018-12-15,2019-12-15,39112,3976.08,History office effort remember.
45,24,23,2022-03-18,2027-03-17,18754,3726.49,History office effort remember.
46,24,49,2020-04-18,2023-04-18,13552,3365.54,History office effort remember.
47,17,7,2018-03-26,2028-03-23,20414,3409.93,History office effort remember.
48,5,4,2020-10-28,2021-10-28,9275,5051.48,History office effort remember.
49,19,31,2019-03-14,2020-03-13,13082,6361.99,History office effort remember.
50,3,5,2023-07-07,2030-07-05,4513,3106.91,History office effort remember.
51,8,49,2020-02-06,2025-02-04,15790,5602.77,History office effort remember.
52,19,20,2022-12-04,2029-12-02,4947,4938.52,History office effort remember.
53,9,11,2023-03-25,2026-03-24,37175,,History office effort remember.
54,16,15,2019-05-04,2026-05-02,19528,5311.95,History office effort remember.
55,21,52,2021-12-17,2024-12-16,28861,2959.11,History office effort remember.
56,5,11,2020-05-23,2023-05-23,39996,5495.83,History office effort remember.
57,15,45,2019-09-03,2024-09-01,18841,4501.89,History office effort remember.
58,14,39,2018-06-02,2019-06-02,6985,3415.7,History office effort remember.
59,1,44,2022-08-23,2032-08-20,38764,2660.93,History office effort remember.
60,15,12,2020-02-09,2027-02-07,29566,5039.14,History office effort remember.
61,14,43,2021-01-21,2022-01-21,11539,3819.21,History office effort remember.
62,13,36,2022-01-29,2027-01-28,6771,3758.07,History office effort remember.
63,1,35,2023-01-24,2030-01-22,4552,3250.33,History office effort remember.
64,25,18,2019-12-27,2026-12-25,19876,4252.46,History office effort remember.
65,21,16,2018-03-02,2019-03-02,21365,4703.36,History office effort remember.
66,4,8,2023-04-07,2024-04-06,11090,4493.5,History office effort remember.
67,14,31,2019-07-27,2029-07-24,37127,3078.57,History office effort remember.
68,5,18,2021-06-26,2031-06-24,28193,3859.5,History office effort remember.
69,10,54,2023-11-26,2028-11-24,33089,5961.04,History office effort remember.
70,18,25,2018-03-25,2025-03-23,22088,5978.41,History office effort remember.
71,8,27,2021-07-31,2024-07-30,31996,5320.91,History office effort remember.
72,21,32,2020-01-28,2027-01-26,9273,4509.16,History office effort remember.
73,15,59,2022-09-20,2023-09-20,10447,4139.91,History office effort remember.
74,9,45,2020-08-14,2023-08-14,6263,5907.06,History office effort remember.
75,11,57,2023-11-28,2033-11-25,36456,2643.6,History office effort remember.
